RecordingDate,Liturgical Year,Week Number,PrimaryLiturgicalTitle
9/17/2051,Year B,43,Seventeenth Sunday after Pentecost
9/24/2051,Year B,44,Eighteenth Sunday after Pentecost
10/1/2051,Year B,45,Nineteenth Sunday after Pentecost
10/8/2051,Year B,46,Twentieth Sunday after Pentecost
10/15/2051,Year B,47,Twenty-first Sunday after Pentecost
10/22/2051,Year B,48,Twenty-second Sunday after Pentecost
10/29/2051,Year B,49,Twenty-third Sunday after Pentecost
11/5/2051,Year B,50,All Saints Day
11/12/2051,Year B,51,Twenty-fifth Sunday after Pentecost
11/19/2051,Year B,52,Twenty-sixth Sunday after Pentecost
11/26/2051,Year B,53,First Sunday of Advent
